id,codigo,nombre,ciudad,capacidad_diaria,estado
1,CEDI-001,CEDI Bogota,Bogota,1000,ACTIVO
2,CEDI-002,CEDI Medellin,Medellin,1000,ACTIVO
3,CEDI-003,CEDI Cali,Cali,1000,ACTIVO
4,CEDI-004,CEDI Barranquilla,Barranquilla,1000,ACTIVO
5,CEDI-005,CEDI Cartagena,Cartagena,1000,ACTIVO
6,CEDI-006,CEDI Bucaramanga,Bucaramanga,1000,ACTIVO
7,CEDI-007,CEDI Pereira,Pereira,1000,ACTIVO
8,CEDI-008,CEDI Manizales,Manizales,1000,ACTIVO
9,CEDI-009,CEDI Ibague,Ibague,1000,ACTIVO
10,CEDI-010,CEDI Villavicencio,Villavicencio,1000,ACTIVO
