id,proveedor_id,fecha_inicio,fecha_fin,estado,limite_credito
1,1,2024-01-01,2025-12-31,ACTIVO,162540.43
2,2,2024-01-01,2025-12-31,ACTIVO,369803.33
3,3,2024-01-01,2025-12-31,ACTIVO,121313.05
4,4,2024-01-01,2025-12-31,ACTIVO,170990.27
5,5,2024-01-01,2025-12-31,ACTIVO,355649.99
6,6,2024-01-01,2025-12-31,ACTIVO,902732.9
7,7,2024-01-01,2025-12-31,ACTIVO,119751.39
8,8,2024-01-01,2025-12-31,ACTIVO,945377.72
9,9,2024-01-01,2025-12-31,ACTIVO,688095.2
10,10,2024-01-01,2025-12-31,ACTIVO,469541.44
11,11,2024-01-01,2025-12-31,ACTIVO,472474.59
12,12,2024-01-01,2025-12-31,ACTIVO,964081.72
13,13,2024-01-01,2025-12-31,ACTIVO,703317.42
14,14,2024-01-01,2025-12-31,ACTIVO,969433.43
15,15,2024-01-01,2025-12-31,ACTIVO,168455.48
16,16,2024-01-01,2025-12-31,ACTIVO,438385.4
17,17,2024-01-01,2025-12-31,ACTIVO,753813.75
18,18,2024-01-01,2025-12-31,ACTIVO,354445.37
19,19,2024-01-01,2025-12-31,ACTIVO,779695.86
20,20,2024-01-01,2025-12-31,ACTIVO,243679.25
