id,orden_id,tipo_evento,fecha_evento,payload
1,623,ORDEN_CANCELADA,2025-11-22 15:16:39,"{""evento_id"": ""1"", ""tipo"": ""ORDEN_CANCELADA""}"
2,40,ORDEN_CREADA,2025-02-16 01:47:15,"{""evento_id"": ""2"", ""tipo"": ""ORDEN_CREADA""}"
3,760,ORDEN_CONFIRMADA,2025-01-20 15:17:00,"{""evento_id"": ""3"", ""tipo"": ""ORDEN_CONFIRMADA""}"
4,821,ORDEN_CREADA,2025-03-09 12:25:26,"{""evento_id"": ""4"", ""tipo"": ""ORDEN_CREADA""}"
5,358,VALIDACION_FISCAL,2025-07-24 20:01:27,"{""evento_id"": ""5"", ""tipo"": ""VALIDACION_FISCAL""}"
6,410,ORDEN_CONFIRMADA,2025-04-05 08:59:22,"{""evento_id"": ""6"", ""tipo"": ""ORDEN_CONFIRMADA""}"
7,874,ORDEN_ENTREGADA,2025-07-07 13:58:58,"{""evento_id"": ""7"", ""tipo"": ""ORDEN_ENTREGADA""}"
8,829,VALIDACION_FISCAL,2025-03-14 04:19:33,"{""evento_id"": ""8"", ""tipo"": ""VALIDACION_FISCAL""}"
9,691,ORDEN_ENTREGADA,2025-07-19 02:03:04,"{""evento_id"": ""9"", ""tipo"": ""ORDEN_ENTREGADA""}"
10,567,SLOT_RESERVADO,2025-11-05 05:45:34,"{""evento_id"": ""10"", ""tipo"": ""SLOT_RESERVADO""}"
11,721,ORDEN_ENTREGADA,2025-04-26 19:36:02,"{""evento_id"": ""11"", ""tipo"": ""ORDEN_ENTREGADA""}"
12,994,ORDEN_CREADA,2025-08-11 14:39:28,"{""evento_id"": ""12"", ""tipo"": ""ORDEN_CREADA""}"
13,458,ORDEN_CREADA,2025-07-09 02:23:50,"{""evento_id"": ""13"", ""tipo"": ""ORDEN_CREADA""}"
14,11,ORDEN_CONFIRMADA,2025-12-07 03:30:19,"{""evento_id"": ""14"", ""tipo"": ""ORDEN_CONFIRMADA""}"
15,49,ORDEN_ENTREGADA,2025-04-12 12:15:22,"{""evento_id"": ""15"", ""tipo"": ""ORDEN_ENTREGADA""}"
16,168,ORDEN_CREADA,2025-04-27 01:59:58,"{""evento_id"": ""16"", ""tipo"": ""ORDEN_CREADA""}"
17,63,ORDEN_CREADA,2025-05-27 01:54:20,"{""evento_id"": ""17"", ""tipo"": ""ORDEN_CREADA""}"
18,769,ORDEN_ENTREGADA,2025-05-27 13:56:56,"{""evento_id"": ""18"", ""tipo"": ""ORDEN_ENTREGADA""}"
19,918,ORDEN_CONFIRMADA,2025-04-18 10:37:54,"{""evento_id"": ""19"", ""tipo"": ""ORDEN_CONFIRMADA""}"
20,776,ORDEN_CONFIRMADA,2025-04-24 01:27:27,"{""evento_id"": ""20"", ""tipo"": ""ORDEN_CONFIRMADA""}"
21,602,ORDEN_CANCELADA,2025-10-15 15:24:38,"{""evento_id"": ""21"", ""tipo"": ""ORDEN_CANCELADA""}"
22,146,ORDEN_CONFIRMADA,2025-05-05 01:20:09,"{""evento_id"": ""22"", ""tipo"": ""ORDEN_CONFIRMADA""}"
23,75,VALIDACION_FISCAL,2025-07-06 05:20:38,"{""evento_id"": ""23"", ""tipo"": ""VALIDACION_FISCAL""}"
24,715,ORDEN_CONFIRMADA,2025-05-20 17:59:52,"{""evento_id"": ""24"", ""tipo"": ""ORDEN_CONFIRMADA""}"
