id,cedi_id,fecha,hora_inicio,hora_fin,capacidad,reservados,estado
1,1,2024-01-01,06:00:00,08:00:00,10,5,DISPONIBLE
2,2,2024-01-01,08:00:00,10:00:00,10,0,DISPONIBLE
3,3,2024-01-01,10:00:00,12:00:00,10,3,DISPONIBLE
4,4,2024-01-01,12:00:00,14:00:00,10,10,LLENA
5,5,2024-01-01,14:00:00,16:00:00,10,2,DISPONIBLE
6,6,2024-01-01,16:00:00,18:00:00,10,10,LLENA
7,7,2024-01-01,18:00:00,20:00:00,10,4,DISPONIBLE
8,8,2024-01-01,20:00:00,22:00:00,10,3,DISPONIBLE
9,9,2024-01-01,22:00:00,24:00:00,10,1,DISPONIBLE
10,10,2024-01-01,24:00:00,26:00:00,10,1,DISPONIBLE
11,1,2024-01-01,06:00:00,08:00:00,10,1,DISPONIBLE
12,2,2024-01-01,08:00:00,10:00:00,10,6,DISPONIBLE
13,3,2024-01-01,10:00:00,12:00:00,10,5,DISPONIBLE
14,4,2024-01-01,12:00:00,14:00:00,10,4,DISPONIBLE
15,5,2024-01-01,14:00:00,16:00:00,10,3,DISPONIBLE
16,6,2024-01-01,16:00:00,18:00:00,10,3,DISPONIBLE
17,7,2024-01-01,18:00:00,20:00:00,10,7,DISPONIBLE
18,8,2024-01-01,20:00:00,22:00:00,10,0,DISPONIBLE
19,9,2024-01-01,22:00:00,24:00:00,10,2,DISPONIBLE
20,10,2024-01-01,24:00:00,26:00:00,10,4,DISPONIBLE
21,1,2024-01-01,06:00:00,08:00:00,10,9,DISPONIBLE
22,2,2024-01-01,08:00:00,10:00:00,10,0,DISPONIBLE
23,3,2024-01-01,10:00:00,12:00:00,10,10,LLENA
24,4,2024-01-01,12:00:00,14:00:00,10,1,DISPONIBLE
25,5,2024-01-01,14:00:00,16:00:00,10,3,DISPONIBLE
26,6,2024-01-01,16:00:00,18:00:00,10,5,DISPONIBLE
27,7,2024-01-01,18:00:00,20:00:00,10,7,DISPONIBLE
28,8,2024-01-01,20:00:00,22:00:00,10,4,DISPONIBLE
29,9,2024-01-01,22:00:00,24:00:00,10,8,DISPONIBLE
30,10,2024-01-01,24:00:00,26:00:00,10,3,DISPONIBLE
31,1,2024-01-01,06:00:00,08:00:00,10,3,DISPONIBLE
32,2,2024-01-01,08:00:00,10:00:00,10,10,LLENA
33,3,2024-01-01,10:00:00,12:00:00,10,9,DISPONIBLE
34,4,2024-01-01,12:00:00,14:00:00,10,9,DISPONIBLE
35,5,2024-01-01,14:00:00,16:00:00,10,9,DISPONIBLE
36,6,2024-01-01,16:00:00,18:00:00,10,7,DISPONIBLE
37,7,2024-01-01,18:00:00,20:00:00,10,2,DISPONIBLE
