id,orden_id,numero_linea,sku_id,cantidad,precio_unitario,cantidad_recibida,fecha_recepcion
1,1,1,2,28,229965.19,12,
2,1,2,30,22,483317.67,16,
3,1,3,13,89,268488.04,55,
4,1,4,5,51,445801.45,25,
5,1,5,38,8,447689.12,2,
6,2,1,37,6,186801.58,1,
7,2,2,49,58,485186.45,32,
8,2,3,3,72,445856.16,55,
9,2,4,18,89,125210.38,53,
10,2,5,42,84,412578.23,47,
11,3,1,27,84,313388.6,67,
12,3,2,26,41,124350.44,16,
13,3,3,40,34,445475.87,11,
14,3,4,13,65,184423.3,11,
15,3,5,8,64,302456.56,53,
16,4,1,12,22,111294.64,20,
17,4,2,47,15,148348.97,3,
18,4,3,39,54,118451.79,41,
19,4,4,6,28,135997.55,19,
20,4,5,19,46,80106.24,25,
21,5,1,49,81,304448.13,72,
22,5,2,37,58,276928.26,35,
23,5,3,49,82,104029.51,11,
24,5,4,31,46,137262.85,43,
25,5,5,44,43,375761.07,19,
26,6,1,2,4,133819.89,0,
27,6,2,43,22,146509.69,3,
28,6,3,13,22,23154.64,1,
29,6,4,40,88,75615.05,47,
30,6,5,45,89,146960.13,83,
31,7,1,27,91,244403.44,19,
32,7,2,33,99,105714.28,61,
33,7,3,33,3,200628.63,0,
34,7,4,13,58,468308.64,6,
35,7,5,21,35,430862.17,0,
36,8,1,46,17,232129.07,0,
37,8,2,35,62,270484.03,50,
38,8,3,12,63,145627.78,46,
39,8,4,2,88,127567.6,80,
40,8,5,29,56,291106.46,9,
41,9,1,30,30,132699.78,12,
42,9,2,39,13,470581.93,0,
43,9,3,27,1,54509.13,0,
44,9,4,9,13,474938.27,3,
45,9,5,18,40,26771.52,35,
46,10,1,37,58,104407.77,40,
47,10,2,5,82,170001.08,74,
48,10,3,4,33,10013.11,13,
49,10,4,2,34,327605.86,26,
50,10,5,25,77,265138.98,7,
51,11,1,31,45,442653.02,41,
52,11,2,5,64,171822.37,6,
53,11,3,19,55,217172.18,18,
54,11,4,36,37,272595.38,35,
55,11,5,48,39,464481.97,7,
56,12,1,22,73,426263.21,64,
57,12,2,30,73,208747.5,61,
58,12,3,49,46,303901.38,30,
59,12,4,5,64,173251.67,43,
60,12,5,40,59,233096.32,12,
61,13,1,2,63,315868.92,25,
62,13,2,20,65,188004.67,52,
63,13,3,25,40,202064.89,12,
64,13,4,23,76,252909.84,69,
65,13,5,18,71,4270.56,48,
66,14,1,35,45,46451.0,27,
67,14,2,6,47,369324.76,43,
68,14,3,20,2,124982.86,0,
69,14,4,22,35,50386.73,33,
70,14,5,12,56,141771.68,41,
71,15,1,21,30,241684.67,12,
72,15,2,25,40,52680.18,35,
73,15,3,39,43,67304.23,27,
74,15,4,50,12,14729.98,12,
75,15,5,42,63,94337.69,51,
76,16,1,48,55,182247.67,54,
77,16,2,22,76,382525.12,30,
78,16,3,16,64,297148.94,5,
79,16,4,48,75,96530.3,37,
80,16,5,3,73,311984.36,33,
81,17,1,37,100,78062.6,77,
82,17,2,10,94,25732.78,72,
83,17,3,10,95,459581.25,30,
84,17,4,28,12,366292.77,8,
85,17,5,45,10,193929.3,7,
86,18,1,4,31,446709.07,31,
87,18,2,1,33,47155.9,12,
88,18,3,37,4,280729.01,4,
89,18,4,33,18,9508.93,3,
90,18,5,39,63,469102.45,19,
91,19,1,39,64,262926.11,13,
92,19,2,12,81,469167.48,71,
93,19,3,35,34,438172.29,11,
94,19,4,16,49,239875.46,9,
95,19,5,40,72,35296.08,64,
96,20,1,36,61,476684.86,49,
97,20,2,45,23,462314.7,10,
98,20,3,25,53,8135.01,18,
99,20,4,40,61,102447.03,32,
100,20,5,50,72,70060.75,68,
101,21,1,3,19,451238.82,8,
102,21,2,6,79,438153.46,62,
103,21,3,3,54,253226.81,0,
104,21,4,1,2,116866.57,0,
105,21,5,10,68,261273.69,38,
106,22,1,49,86,368411.66,66,
107,22,2,35,40,108641.52,0,
108,22,3,36,30,149633.16,10,
