id,numero_orden,proveedor_id,fecha_orden,estado,cedi_id,franja_id,total,fecha_entrega,fecha_confirmacion,idempotency_key
1,OC-000000000001,2,2025-07-15 11:45:01,ENTREGADA,10,263,4920022.07,2025-07-25,2025-07-16 08:45:01,IDEMP-000000000001
2,OC-000000000002,1,2025-12-27 08:15:11,ENTREGADA,4,753,425359.45,2025-12-31,2025-12-27 11:15:11,IDEMP-000000000002
3,OC-000000000003,4,2025-01-25 23:25:26,CONFIRMADA,7,283,3792408.82,2025-01-31,,IDEMP-000000000003
4,OC-000000000004,11,2025-01-11 09:18:34,ENTREGADA,9,214,258566.91,2025-01-19,2025-01-12 03:18:34,IDEMP-000000000004
5,OC-000000000005,13,2024-01-04 09:01:19,PENDIENTE,6,514,990004.28,2024-01-14,,IDEMP-000000000005
6,OC-000000000006,1,2025-07-02 22:20:12,ENTREGADA,4,192,1632148.45,2025-07-09,2025-07-03 15:20:12,IDEMP-000000000006
7,OC-000000000007,1,2024-07-23 09:37:31,CONFIRMADA,7,190,23544.36,2024-07-24,,IDEMP-000000000007
8,OC-000000000008,2,2025-11-11 09:58:59,ENTREGADA,6,767,4458277.97,2025-11-21,2025-11-12 00:58:59,IDEMP-000000000008
9,OC-000000000009,83,2024-12-29 08:03:47,ENTREGADA,4,970,1486045.91,2025-01-04,2024-12-29 14:03:47,IDEMP-000000000009
10,OC-000000000010,1,2025-02-27 08:20:22,CONFIRMADA,2,99,618456.75,2025-03-06,,IDEMP-000000000010
11,OC-000000000011,1,2025-06-29 06:22:11,ENTREGADA,5,878,1026180.21,2025-07-06,2025-06-30 06:22:11,IDEMP-000000000011
12,OC-000000000012,1,2024-01-02 09:39:23,ENTREGADA,3,700,3345537.54,2024-01-03,2024-01-02 20:39:23,IDEMP-000000000012
13,OC-000000000013,9,2025-05-19 09:10:43,ENTREGADA,9,257,1361884.01,2025-05-23,2025-05-19 15:10:43,IDEMP-000000000013
14,OC-000000000014,26,2024-03-16 09:46:41,ENTREGADA,5,757,1098977.76,2024-03-22,2024-03-17 08:46:41,IDEMP-000000000014
15,OC-000000000015,2,2024-08-03 08:54:10,ENTREGADA,3,590,1297815.64,2024-08-06,2024-08-03 21:54:10,IDEMP-000000000015
16,OC-000000000016,1,2025-12-11 00:02:14,CONFIRMADA,6,435,1462820.88,2025-12-18,,IDEMP-000000000016
17,OC-000000000017,1,2025-07-29 09:41:49,ENTREGADA,4,551,4972357.79,2025-08-01,2025-07-30 04:41:49,IDEMP-000000000017
18,OC-000000000018,1,2025-10-10 09:10:08,CONFIRMADA,3,41,2121691.73,2025-10-13,,IDEMP-000000000018
19,OC-000000000019,98,2025-02-17 10:00:42,ENTREGADA,4,179,4961730.86,2025-02-24,2025-02-18 09:00:42,IDEMP-000000000019
20,OC-000000000020,48,2024-10-18 10:20:03,ENTREGADA,5,570,1291398.43,2024-10-22,2024-10-19 10:20:03,IDEMP-000000000020
21,OC-000000000021,6,2025-08-01 08:35:44,ENTREGADA,8,647,3092601.21,2025-08-10,2025-08-01 20:35:44,IDEMP-000000000021
22,OC-000000000022,2,2024-05-01 08:27:46,CANCELADA,5,263,314609.06,2024-05-05,,IDEMP-000000000022
23,OC-000000000023,2,2024-04-16 09:06:43,ENTREGADA,3,616,4464769.79,2024-04-19,2024-04-16 11:06:43,IDEMP-000000000023
24,OC-000000000024,7,2025-10-19 09:15:53,ENTREGADA,7,448,1304979.68,2025-10-23,2025-10-19 10:15:53,IDEMP-000000000024
25,OC-000000000025,1,2024-08-23 03:42:30,ENTREGADA,7,491,457120.85,2024-08-26,2024-08-23 12:42:30,IDEMP-000000000025
26,OC-000000000026,3,2024-10-10 13:50:27,CONFIRMADA,8,812,725310.51,2024-10-15,,IDEMP-000000000026
27,OC-000000000027,1,2025-12-14 08:33:00,ENTREGADA,5,551,3921090.28,2025-12-24,2025-12-15 02:33:00,IDEMP-000000000027
28,OC-000000000028,1,2025-07-28 10:01:48,ENTREGADA,5,693,773389.03,2025-08-04,2025-07-29 08:01:48,IDEMP-000000000028
29,OC-000000000029,8,2025-05-27 10:40:26,ENTREGADA,7,632,2940691.6,2025-06-02,2025-05-28 08:40:26,IDEMP-000000000029
30,OC-000000000030,11,2024-01-26 18:13:59,ENTREGADA,9,331,4123291.89,2024-01-31,2024-01-26 19:13:59,IDEMP-000000000030
31,OC-000000000031,49,2025-01-13 10:23:28,PENDIENTE,2,711,4801866.67,2025-01-18,,IDEMP-000000000031
32,OC-000000000032,39,2025-02-13 20:20:44,CONFIRMADA,3,773,3907321.03,2025-02-23,,IDEMP-000000000032
33,OC-000000000033,7,2024-07-23 10:32:09,CONFIRMADA,1,546,4932316.73,2024-07-24,,IDEMP-000000000033
34,OC-000000000034,9,2025-04-24 04:30:28,ENTREGADA,7,610,1606304.25,2025-04-25,2025-04-24 18:30:28,IDEMP-000000000034
35,OC-000000000035,22,2024-11-23 02:35:54,ENTREGADA,6,430,1001546.01,2024-11-24,2024-11-23 09:35:54,IDEMP-000000000035
36,OC-000000000036,18,2025-03-12 08:39:01,ENTREGADA,2,540,1617441.42,2025-03-17,2025-03-13 01:39:01,IDEMP-000000000036
37,OC-000000000037,2,2025-05-14 09:46:39,CANCELADA,9,497,4032321.95,2025-05-24,,IDEMP-000000000037
38,OC-000000000038,62,2025-07-12 10:15:59,ENTREGADA,9,627,3406752.19,2025-07-19,2025-07-12 22:15:59,IDEMP-000000000038
39,OC-000000000039,1,2024-10-04 10:17:17,ENTREGADA,6,324,402566.01,2024-10-10,2024-10-05 03:17:17,IDEMP-000000000039
40,OC-000000000040,1,2024-03-30 10:04:08,ENTREGADA,3,215,187322.95,2024-04-06,2024-03-30 12:04:08,IDEMP-000000000040
41,OC-000000000041,29,2024-02-08 22:52:42,CONFIRMADA,5,871,354006.44,2024-02-16,,IDEMP-000000000041
42,OC-000000000042,29,2025-12-17 10:43:28,ENTREGADA,10,782,3626765.09,2025-12-24,2025-12-17 18:43:28,IDEMP-000000000042
43,OC-000000000043,61,2024-06-11 10:20:59,ENTREGADA,10,572,4763454.83,2024-06-21,2024-06-11 16:20:59,IDEMP-000000000043
44,OC-000000000044,4,2024-02-23 10:22:40,ENTREGADA,7,305,1471087.51,2024-03-04,2024-02-23 11:22:40,IDEMP-000000000044
45,OC-000000000045,6,2024-12-27 04:43:07,ENTREGADA,8,588,287905.52,2025-01-06,2024-12-27 22:43:07,IDEMP-000000000045
