id,proveedor_id,sku_id,precio_negociado,fecha_inicio,fecha_fin,estado
1,1,126,15853.81,2024-01-01,2025-12-31,ACTIVO
2,1,247,269788.46,2024-01-01,2025-12-31,ACTIVO
3,1,456,371789.72,2024-01-01,2025-12-31,ACTIVO
4,1,49,440603.69,2024-01-01,2025-12-31,ACTIVO
5,1,395,300924.62,2024-01-01,2025-12-31,ACTIVO
6,1,67,3639.61,2024-01-01,2025-12-31,ACTIVO
7,1,22,76490.43,2024-01-01,2025-12-31,ACTIVO
8,1,15,266383.39,2024-01-01,2025-12-31,ACTIVO
9,1,227,89897.06,2024-01-01,2025-12-31,ACTIVO
10,1,118,14769.21,2024-01-01,2025-12-31,ACTIVO
11,1,463,207454.21,2024-01-01,2025-12-31,ACTIVO
12,1,430,151614.76,2024-01-01,2025-12-31,ACTIVO
13,1,276,319525.03,2024-01-01,2025-12-31,ACTIVO
14,1,407,189723.19,2024-01-01,2025-12-31,ACTIVO
15,1,453,56841.35,2024-01-01,2025-12-31,ACTIVO
16,1,471,86730.58,2024-01-01,2025-12-31,ACTIVO
17,1,123,326817.74,2024-01-01,2025-12-31,ACTIVO
18,1,444,79343.3,2024-01-01,2025-12-31,ACTIVO
19,1,34,109761.72,2024-01-01,2025-12-31,ACTIVO
20,1,459,83355.12,2024-01-01,2025-12-31,ACTIVO
21,2,387,397421.18,2024-01-01,2025-12-31,ACTIVO
22,2,317,255272.03,2024-01-01,2025-12-31,ACTIVO
23,2,357,223172.68,2024-01-01,2025-12-31,ACTIVO
24,2,393,198453.68,2024-01-01,2025-12-31,ACTIVO
25,2,254,10473.31,2024-01-01,2025-12-31,ACTIVO
26,2,130,69884.08,2024-01-01,2025-12-31,ACTIVO
27,2,87,158773.36,2024-01-01,2025-12-31,ACTIVO
28,2,436,313632.77,2024-01-01,2025-12-31,ACTIVO
29,2,373,271598.0,2024-01-01,2025-12-31,ACTIVO
30,2,81,311071.05,2024-01-01,2025-12-31,ACTIVO
31,2,64,1996.03,2024-01-01,2025-12-31,ACTIVO
32,2,426,443388.1,2024-01-01,2025-12-31,ACTIVO
33,2,489,266963.59,2024-01-01,2025-12-31,ACTIVO
34,2,116,370459.2,2024-01-01,2025-12-31,ACTIVO
35,2,466,252435.79,2024-01-01,2025-12-31,ACTIVO
36,2,324,258546.13,2024-01-01,2025-12-31,ACTIVO
37,2,79,380903.16,2024-01-01,2025-12-31,ACTIVO
38,2,54,103826.34,2024-01-01,2025-12-31,ACTIVO
39,2,57,65433.44,2024-01-01,2025-12-31,ACTIVO
40,2,482,93071.32,2024-01-01,2025-12-31,ACTIVO
41,2,264,121567.46,2024-01-01,2025-12-31,ACTIVO
42,2,244,209268.93,2024-01-01,2025-12-31,ACTIVO
43,2,438,199992.05,2024-01-01,2025-12-31,ACTIVO
