id,nit,nombre,estado,fecha_registro
1,NIT-000000001,Proveedor 000001,ACTIVO,2019-09-24
2,NIT-000000002,Proveedor 000002,ACTIVO,2024-10-20
3,NIT-000000003,Proveedor 000003,ACTIVO,2021-12-13
4,NIT-000000004,Proveedor 000004,ACTIVO,2025-01-17
5,NIT-000000005,Proveedor 000005,ACTIVO,2019-10-04
6,NIT-000000006,Proveedor 000006,ACTIVO,2019-03-25
7,NIT-000000007,Proveedor 000007,ACTIVO,2022-02-22
8,NIT-000000008,Proveedor 000008,ACTIVO,2020-06-10
9,NIT-000000009,Proveedor 000009,ACTIVO,2018-07-10
10,NIT-000000010,Proveedor 000010,ACTIVO,2020-01-17
11,NIT-000000011,Proveedor 000011,ACTIVO,2024-10-06
12,NIT-000000012,Proveedor 000012,ACTIVO,2020-08-21
13,NIT-000000013,Proveedor 000013,ACTIVO,2023-07-31
14,NIT-000000014,Proveedor 000014,ACTIVO,2024-03-27
15,NIT-000000015,Proveedor 000015,ACTIVO,2024-02-16
16,NIT-000000016,Proveedor 000016,ACTIVO,2023-09-06
17,NIT-000000017,Proveedor 000017,ACTIVO,2019-10-04
18,NIT-000000018,Proveedor 000018,ACTIVO,2020-09-29
19,NIT-000000019,Proveedor 000019,ACTIVO,2019-10-13
20,NIT-000000020,Proveedor 000020,ACTIVO,2020-12-09
21,NIT-000000021,Proveedor 000021,ACTIVO,2018-09-04
22,NIT-000000022,Proveedor 000022,ACTIVO,2023-09-27
23,NIT-000000023,Proveedor 000023,ACTIVO,2019-11-05
24,NIT-000000024,Proveedor 000024,ACTIVO,2024-04-06
25,NIT-000000025,Proveedor 000025,ACTIVO,2019-11-19
26,NIT-000000026,Proveedor 000026,ACTIVO,2019-07-17
27,NIT-000000027,Proveedor 000027,ACTIVO,2019-11-07
28,NIT-000000028,Proveedor 000028,ACTIVO,2018-08-26
29,NIT-000000029,Proveedor 000029,ACTIVO,2019-04-09
30,NIT-000000030,Proveedor 000030,ACTIVO,2021-08-02
31,NIT-000000031,Proveedor 000031,ACTIVO,2023-01-09
32,NIT-000000032,Proveedor 000032,ACTIVO,2025-12-02
33,NIT-000000033,Proveedor 000033,ACTIVO,2021-07-07
34,NIT-000000034,Proveedor 000034,ACTIVO,2018-06-12
35,NIT-000000035,Proveedor 000035,ACTIVO,2023-02-03
36,NIT-000000036,Proveedor 000036,ACTIVO,2022-07-15
37,NIT-000000037,Proveedor 000037,ACTIVO,2018-06-07
38,NIT-000000038,Proveedor 000038,ACTIVO,2020-05-08
39,NIT-000000039,Proveedor 000039,ACTIVO,2022-09-23
40,NIT-000000040,Proveedor 000040,ACTIVO,2025-01-18
41,NIT-000000041,Proveedor 000041,ACTIVO,2022-02-10
42,NIT-000000042,Proveedor 000042,ACTIVO,2024-12-19
43,NIT-000000043,Proveedor 000043,ACTIVO,2019-02-06
44,NIT-000000044,Proveedor 000044,ACTIVO,2022-03-05
45,NIT-000000045,Proveedor 000045,ACTIVO,2023-01-10
46,NIT-000000046,Proveedor 000046,ACTIVO,2020-03-12
47,NIT-000000047,Proveedor 000047,ACTIVO,2020-02-09
48,NIT-000000048,Proveedor 000048,ACTIVO,2022-03-20
49,NIT-000000049,Proveedor 000049,ACTIVO,2020-06-23
50,NIT-000000050,Proveedor 000050,ACTIVO,2021-06-20
51,NIT-000000051,Proveedor 000051,ACTIVO,2021-01-22
52,NIT-000000052,Proveedor 000052,ACTIVO,2023-02-05
53,NIT-000000053,Proveedor 000053,ACTIVO,2021-11-18
54,NIT-000000054,Proveedor 000054,ACTIVO,2025-09-25
55,NIT-000000055,Proveedor 000055,ACTIVO,2021-10-28
56,NIT-000000056,Proveedor 000056,ACTIVO,2021-12-30
57,NIT-000000057,Proveedor 000057,ACTIVO,2020-07-22
58,NIT-000000058,Proveedor 000058,ACTIVO,2023-06-28
59,NIT-000000059,Proveedor 000059,INACTIVO,2025-12-26
60,NIT-000000060,Proveedor 000060,ACTIVO,2021-12-21
61,NIT-000000061,Proveedor 000061,ACTIVO,2018-11-13
62,NIT-000000062,Proveedor 000062,ACTIVO,2024-05-19
63,NIT-000000063,Proveedor 000063,ACTIVO,2022-07-17
64,NIT-000000064,Proveedor 000064,ACTIVO,2018-03-16
65,NIT-000000065,Proveedor 000065,ACTIVO,2020-11-17
66,NIT-000000066,Proveedor 000066,ACTIVO,2018-07-03
67,NIT-000000067,Proveedor 000067,ACTIVO,2023-03-15
68,NIT-000000068,Proveedor 000068,ACTIVO,2020-06-16
69,NIT-000000069,Proveedor 000069,ACTIVO,2021-11-21
70,NIT-000000070,Proveedor 000070,ACTIVO,2024-06-04
71,NIT-000000071,Proveedor 000071,ACTIVO,2020-06-06
72,NIT-000000072,Proveedor 000072,ACTIVO,2024-03-24
73,NIT-000000073,Proveedor 000073,ACTIVO,2018-10-04
74,NIT-000000074,Proveedor 000074,ACTIVO,2023-01-27
75,NIT-000000075,Proveedor 000075,ACTIVO,2021-08-22
76,NIT-000000076,Proveedor 000076,ACTIVO,2020-11-12
77,NIT-000000077,Proveedor 000077,ACTIVO,2024-07-06
78,NIT-000000078,Proveedor 000078,ACTIVO,2024-10-26
79,NIT-000000079,Proveedor 000079,ACTIVO,2021-09-11
80,NIT-000000080,Proveedor 000080,ACTIVO,2023-10-28
81,NIT-000000081,Proveedor 000081,ACTIVO,2018-11-22
82,NIT-000000082,Proveedor 000082,ACTIVO,2019-03-15
83,NIT-000000083,Proveedor 000083,ACTIVO,2019-02-11
84,NIT-000000084,Proveedor 000084,ACTIVO,2021-02-10
85,NIT-000000085,Proveedor 000085,ACTIVO,2025-03-06
86,NIT-000000086,Proveedor 000086,ACTIVO,2025-03-15
87,NIT-000000087,Proveedor 000087,ACTIVO,2020-09-14
88,NIT-000000088,Proveedor 000088,ACTIVO,2022-09-24
89,NIT-000000089,Proveedor 000089,ACTIVO,2018-03-14
90,NIT-000000090,Proveedor 000090,ACTIVO,2018-08-28
91,NIT-000000091,Proveedor 000091,ACTIVO,2021-02-25
92,NIT-000000092,Proveedor 000092,ACTIVO,2021-02-02
93,NIT-000000093,Proveedor 000093,ACTIVO,2024-12-18
94,NIT-000000094,Proveedor 000094,ACTIVO,2025-07-07
95,NIT-000000095,Proveedor 000095,ACTIVO,2020-09-21
96,NIT-000000096,Proveedor 000096,ACTIVO,2018-05-17
97,NIT-000000097,Proveedor 000097,ACTIVO,2021-02-06
98,NIT-000000098,Proveedor 000098,ACTIVO,2025-06-20
99,NIT-000000099,Proveedor 000099,ACTIVO,2024-11-21
100,NIT-000000100,Proveedor 000100,ACTIVO,2023-04-05
