id,codigo,nombre,categoria,precio_base,estado
1,SKU-00000001,Producto 00000001,ALIMENTOS,490359.16,ACTIVO
2,SKU-00000002,Producto 00000002,BEBIDAS,7607.92,ACTIVO
3,SKU-00000003,Producto 00000003,ASEO,259995.78,ACTIVO
4,SKU-00000004,Producto 00000004,HOGAR,294220.63,ACTIVO
5,SKU-00000005,Producto 00000005,ELECTRONICA,162679.79,ACTIVO
6,SKU-00000006,Producto 00000006,PAPELERIA,381259.28,ACTIVO
7,SKU-00000007,Producto 00000007,TEXTIL,449999.87,ACTIVO
8,SKU-00000008,Producto 00000008,FERRETERIA,228737.83,ACTIVO
9,SKU-00000009,Producto 00000009,ALIMENTOS,219807.62,ACTIVO
10,SKU-00000010,Producto 00000010,BEBIDAS,185876.31,ACTIVO
11,SKU-00000011,Producto 00000011,ASEO,13677.24,ACTIVO
12,SKU-00000012,Producto 00000012,HOGAR,194217.61,ACTIVO
13,SKU-00000013,Producto 00000013,ELECTRONICA,337076.77,ACTIVO
14,SKU-00000014,Producto 00000014,PAPELERIA,270454.92,ACTIVO
15,SKU-00000015,Producto 00000015,TEXTIL,297139.74,ACTIVO
16,SKU-00000016,Producto 00000016,FERRETERIA,159619.44,ACTIVO
17,SKU-00000017,Producto 00000017,ALIMENTOS,218822.21,ACTIVO
18,SKU-00000018,Producto 00000018,BEBIDAS,159506.97,ACTIVO
19,SKU-00000019,Producto 00000019,ASEO,194739.57,ACTIVO
20,SKU-00000020,Producto 00000020,HOGAR,149235.08,ACTIVO
21,SKU-00000021,Producto 00000021,ELECTRONICA,189859.5,ACTIVO
22,SKU-00000022,Producto 00000022,PAPELERIA,311265.27,ACTIVO
23,SKU-00000023,Producto 00000023,TEXTIL,285129.95,ACTIVO
24,SKU-00000024,Producto 00000024,FERRETERIA,243087.29,ACTIVO
25,SKU-00000025,Producto 00000025,ALIMENTOS,59349.48,ACTIVO
26,SKU-00000026,Producto 00000026,BEBIDAS,307392.68,ACTIVO
27,SKU-00000027,Producto 00000027,ASEO,16631.06,ACTIVO
28,SKU-00000028,Producto 00000028,HOGAR,25608.36,ACTIVO
